unit,station,line,color
R001,WHITEHALL ST,1RW,"rgb(238,53,46)"
R003,CYPRESS HILLS,J,"rgb(153,102,51)"
R004,ELDERTS LANE,JZ,"rgb(153,102,51)"
R005,FOREST PARKWAY,J,"rgb(153,102,51)"
R006,WOODHAVEN BLVD,JZ,"rgb(153,102,51)"
R007,104 ST,JZ,"rgb(153,102,51)"
R008,111 ST,J,"rgb(153,102,51)"
R009,121 ST,JZ,"rgb(153,102,51)"
R010,42 ST-PORT AUTH,1237ACEGNQRSW,"rgb(238,53,46)"
R011,42 ST-PORT AUTH,1237ACENQRSW,"rgb(238,53,46)"
R012,34 ST-PENN STA,ACE,"rgb(0, 57, 166)"
R013,34 ST-PENN STA,ACE,"rgb(0, 57, 166)"
R014,FULTON ST,2345ACJZ,"rgb(238,53,46)"
R015,5 AVE-53 ST,EM,"rgb(0, 57, 166)"
R016,LEXINGTON AV/53,6EM,"rgb(0,147,60)"
R017,LEXINGTON AV/53,6EM,"rgb(0,147,60)"
R018,ROOSEVELT AVE,7EFMR,"rgb(185,51,173)"
R019,JAMAICA-179 ST,F,"rgb(255,99,25)"
R020,47-50 STS ROCK,BDFM,"rgb(255,99,25)"
R021,42 ST-BRYANT PK,7BDFM,"rgb(185,51,173)"
R022,34 ST-HERALD SQ,BDFMNQRW,"rgb(255,99,25)"
R023,34 ST-HERALD SQ,BDFMNQRW,"rgb(255,99,25)"
R024,SUTPHIN BLVD,EJZ,"rgb(0, 57, 166)"
R025,JAMAICA CENTER,EJZ,"rgb(0, 57, 166)"
R027,WALL ST,23,"rgb(238,53,46)"
R028,FULTON ST,2345ACJZ,"rgb(238,53,46)"
R029,WORLD TRADE CTR,23ACE,"rgb(238,53,46)"
R030,CHAMBERS ST,123,"rgb(238,53,46)"
R031,34 ST-PENN STA,123,"rgb(238,53,46)"
R032,TIMES SQ-42 ST,1237ACENQRSW,"rgb(238,53,46)"
R033,TIMES SQ-42 ST,1237ACENQRSW,"rgb(238,53,46)"
R081,49 ST-7 AVE,NQRW,"rgb(252,204,10)"
R034,125 ST,1,"rgb(238,53,46)"
R035,168 ST-BROADWAY,1AC,"rgb(238,53,46)"
R036,DYCKMAN ST,1,"rgb(238,53,46)"
R037,207 ST,1,"rgb(238,53,46)"
R038,215 ST,1,"rgb(238,53,46)"
R039,MARBLE HILL-225,1,"rgb(238,53,46)"
R040,231 ST,1,"rgb(238,53,46)"
R041,BOWLING GREEN,45,"rgb(0,147,60)"
R042,BOWLING GREEN,45,"rgb(0,147,60)"
R043,WALL ST,45,"rgb(0,147,60)"
R044,CHAMBERS ST,456JZ,"rgb(0,147,60)"
R045,GRD CNTRL-42 ST,4567S,"rgb(0,147,60)"
R046,GRD CNTRL-42 ST,4567S,"rgb(0,147,60)"
R047,GRD CNTRL-42 ST,4567S,"rgb(0,147,60)"
R048,GRD CNTRL-42 ST,4567S,"rgb(0,147,60)"
R049,51 ST,6,"rgb(0,147,60)"
R050,59 ST,456NQRW,"rgb(0,147,60)"
R051,LEXINGTON AVE,456NQRW,"rgb(0,147,60)"
R052,WOODLAWN ROAD,4,"rgb(0,147,60)"
R053,3 AV-149 ST,25,"rgb(238,53,46)"
R054,5 AVE-BRYANT PK,7BDFM,"rgb(185,51,173)"
R055,MAIN ST,7,"rgb(185,51,173)"
R056,NEVINS ST,2345,"rgb(238,53,46)"
R057,BARCLAYS CENTER,2345BDNQR,"rgb(238,53,46)"
R058,BERGEN ST,23,"rgb(238,53,46)"
R059,GRAND ARMY PLAZ,23,"rgb(238,53,46)"
R060,EASTN PKWY-MUSM,23,"rgb(238,53,46)"
R061,NOSTRAND AVE,3,"rgb(238,53,46)"
R062,CROWN HTS-UTICA,34,"rgb(238,53,46)"
R063,SUTTER AV-RUTLD,3,"rgb(238,53,46)"
R064,SARATOGA AVE,3,"rgb(238,53,46)"
R065,ROCKAWAY AVE,3,"rgb(238,53,46)"
R066,JUNIUS ST,3,"rgb(238,53,46)"
R067,PENNSYLVANIA AV,3,"rgb(238,53,46)"
R068,VAN SICLEN AVE,3,"rgb(238,53,46)"
R069,NEW LOTS AVE,3,"rgb(238,53,46)"
R070,ST. GEORGE,1,"rgb(238,53,46)"
R072,34 ST-HUDSON YD,7,"rgb(185,51,173)"
R079,5 AVE-59 ST,NQRW,"rgb(252,204,10)"
R080,57 ST-7 AVE,NQRW,"rgb(252,204,10)"
R082,28 ST-BROADWAY,NRW,"rgb(252,204,10)"
R083,23 ST-5 AVE,NRW,"rgb(252,204,10)"
R084,59 ST-COLUMBUS,1ABCD,"rgb(238,53,46)"
R085,8 ST-NYU,NRW,"rgb(252,204,10)"
R086,PRINCE ST-B'WAY,NRW,"rgb(252,204,10)"
R087,CITY HALL,NRW,"rgb(252,204,10)"
R088,CORTLANDT ST,NRW,"rgb(252,204,10)"
R089,JAY ST-METROTEC,R,"rgb(252,204,10)"
R090,BEEBE-39 AVE,NQW,"rgb(252,204,10)"
R091,WASHINGTON-36 A,NQW,"rgb(252,204,10)"
R092,BROADWAY-31 ST,NQW,"rgb(252,204,10)"
R093,GRAND-30 AVE,NQW,"rgb(252,204,10)"
R094,HOYT ST-ASTORIA,NQW,"rgb(252,204,10)"
R095,DITMARS BL-31 S,NQW,"rgb(252,204,10)"
R096,82 ST-JACKSON H,7,"rgb(185,51,173)"
R097,JUNCTION BLVD,7,"rgb(185,51,173)"
R098,CHURCH AVE,BQ,"rgb(255,99,25)"
R099,DEKALB AVE,BDNQR,"rgb(255,99,25)"
R100,METROPOLITAN AV,M,"rgb(255,99,25)"
R101,145 ST,ABCD,"rgb(0, 57, 166)"
R102,125 ST,ABCD,"rgb(0, 57, 166)"
R103,BROADWAY JCT,ACJLZ,"rgb(0, 57, 166)"
R104,167 ST,BD,"rgb(255,99,25)"
R105,14 ST,123FLM,"rgb(238,53,46)"
R106,CASTLE HILL AVE,6,"rgb(0,147,60)"
R107,WESTCHESTER SQ,6,"rgb(0,147,60)"
R108,BOROUGH HALL/CT,2345R,"rgb(238,53,46)"
R109,CHURCH AVE,25,"rgb(238,53,46)"
R110,FLATBUSH AVE,25,"rgb(238,53,46)"
R111,23 ST,CE,"rgb(0, 57, 166)"
R112,FORDHAM ROAD,BD,"rgb(255,99,25)"
R113,7 AVE-53 ST,BDE,"rgb(255,99,25)"
R114,PARSONS BLVD,F,"rgb(255,99,25)"
R115,169 ST,F,"rgb(255,99,25)"
R116,50 ST,1,"rgb(238,53,46)"
R117,V.CORTLANDT PK,1,"rgb(238,53,46)"
R118,CANAL ST,6JNQRWZ,"rgb(0,147,60)"
R119,FORDHAM ROAD,4,"rgb(0,147,60)"
R120,MORRISON AVE,6,"rgb(0,147,60)"
R121,QUEENSBORO PLZ,7NQW,"rgb(185,51,173)"
R122,90 ST-ELMHURST,7,"rgb(185,51,173)"
