,R015,R018,R023,R025,R027,R029,R035,R041,R049,R050,R051,R054,R055,R079,R080,R081,R086,R097,R099,R113,R116,R171,R175,R178,R179,R188,R227,R236,R257,R290,R302,R319,R322,R463,R542,R543,R544,R570,R571,R572
R015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07002711113533415,-0.07002711113533415,-0.07002711113533415
R018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04176245901894837,-0.04176245901894837,-0.04176245901894837
R023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030180047376862806,0.030180047376862806,0.030180047376862806
R025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04478426910404695,-0.04478426910404695,-0.04478426910404695
R027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0409802214528157,0.0409802214528157,0.0409802214528157
R029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0674647378009237,-0.0674647378009237,-0.0674647378009237
R035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02149017519685287,0.02149017519685287,0.02149017519685287
R041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.044142884986662204,-0.044142884986662204,-0.044142884986662204
R049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03658146989049051,-0.03658146989049051,-0.03658146989049051
R050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05549850942528957,-0.05549850942528957,-0.05549850942528957
R051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11092870663411229,-0.11092870663411229,-0.11092870663411229
R054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.029095122700599663,-0.029095122700599663,-0.029095122700599663
R055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06793152836152268,-0.06793152836152268,-0.06793152836152268
R079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04696449353979495,-0.04696449353979495,-0.04696449353979495
R080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06445521985063983,0.06445521985063983,0.06445521985063983
R081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06392407386806204,-0.06392407386806204,-0.06392407386806204
R086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.027691480528784937,-0.027691480528784937,-0.027691480528784937
R097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02188214323377506,-0.02188214323377506,-0.02188214323377506
R099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0260926556660751,0.0260926556660751,0.0260926556660751
R113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.023650178572397373,-0.023650178572397373,-0.023650178572397373
R116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06227573923091001,-0.06227573923091001,-0.06227573923091001
R171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02554320950898998,0.02554320950898998,0.02554320950898998
R175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05934295702179285,-0.05934295702179285,-0.05934295702179285
R178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12532838662452403,-0.12532838662452403,-0.12532838662452403
